,tenure,Partner,Dependents,gender,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1,1,0,0,0,1,29.85,29.85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1,34,0,0,1,1,0,56.95,1889.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,No
2,2,0,0,1,1,1,53.85,108.15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes
3,45,0,0,1,0,0,42.3,1840.75,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,No
4,2,0,0,0,1,1,70.7,151.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
5,8,0,0,0,1,1,99.65,820.5,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,Yes
6,22,0,1,1,1,1,89.1,1949.4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,No
7,10,0,0,0,0,0,29.75,301.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
8,28,1,0,0,1,1,104.8,3046.05,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,Yes
9,62,0,1,1,1,0,56.15,3487.95,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,No
10,13,1,1,1,1,1,49.95,587.45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
11,16,0,0,1,1,0,18.95,326.8,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
12,58,1,0,1,1,0,100.35,5681.1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,No
13,49,0,0,1,1,1,103.7,5036.3,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,Yes
14,25,0,0,1,1,1,105.5,2686.05,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,No
15,69,1,1,0,1,0,113.25,7895.15,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,No
16,52,0,0,0,1,0,20.65,1022.95,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,No
17,71,0,1,1,1,0,106.7,7382.25,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,No
18,10,1,1,0,1,0,55.2,528.35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Yes
19,21,0,0,0,1,1,90.05,1862.9,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,No
20,1,0,0,1,0,1,39.65,39.65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Yes
21,12,1,0,1,1,0,19.8,202.25,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,No
22,1,0,0,1,1,0,20.15,20.15,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,Yes
23,58,1,0,0,1,1,59.9,3505.1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,No
24,49,1,1,1,1,0,59.6,2970.3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,No
25,30,0,0,0,1,1,55.3,1530.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No
